policy_variant,policy_label,num_obstacles,num_trials,num_success,success_rate_pct,planning_time_capped_mean_s,planning_time_capped_std_s,planning_time_success_mean_s
ours,Ours,15,5,5,100.0,2.5588961601257325,0.8742196175767629,2.5588961601257325
ours,Ours,20,5,5,100.0,5.684089708328247,1.9178137977731067,5.684089708328247
ours,Ours,25,5,5,100.0,10.218100595474244,1.9014496023677785,10.218100595474244
ours,Ours,30,5,5,100.0,13.279340648651123,5.447366461145546,13.279340648651123
ours,Ours,35,5,5,100.0,22.358945322036742,4.640689981240694,22.358945322036742
ours,Ours,40,5,5,100.0,38.55294189453125,31.63497957621854,38.55294189453125
ours,Ours,45,5,5,100.0,49.15052528381348,19.890959949621767,49.15052528381348
ours_no_recursive,Ours w/o recursive,15,5,5,100.0,2.2953775405883787,0.765563634858939,2.2953775405883787
ours_no_recursive,Ours w/o recursive,20,5,5,100.0,5.892374658584595,1.914828805556196,5.892374658584595
ours_no_recursive,Ours w/o recursive,25,5,4,80.0,168.75297837257386,352.8825014960894,10.941222965717316
ours_no_recursive,Ours w/o recursive,30,5,5,100.0,28.198782682418823,36.99472975208256,28.198782682418823
ours_no_recursive,Ours w/o recursive,35,5,5,100.0,21.196945238113404,4.832058577356398,21.196945238113404
ours_no_recursive,Ours w/o recursive,40,5,4,80.0,183.84511032104493,344.47790358522724,29.806387901306152
ours_no_recursive,Ours w/o recursive,45,5,2,40.0,494.948287153244,417.7214167820282,37.370717883110046
slpush,SLPush,15,5,5,100.0,8.881117057800292,12.338140742529838,8.881117057800292
slpush,SLPush,20,5,4,80.0,169.31640481948853,352.6005483115122,11.645506024360657
slpush,SLPush,25,5,3,60.0,327.639067363739,431.2436860999343,12.731778939565023
slpush,SLPush,30,5,5,100.0,38.7748685836792,19.67887494422877,38.7748685836792
slpush,SLPush,35,5,1,20.0,658.638511800766,316.0938970140216,93.19255900382996
slpush,SLPush,40,5,1,20.0,664.1245481014251,303.8267469187162,120.62274050712584
slpush,SLPush,45,5,1,20.0,654.6366266727448,325.04238419842255,73.18313336372375
dfs,DFS,15,5,5,100.0,11.156870365142822,4.660998977137953,11.156870365142822
dfs,DFS,20,5,5,100.0,31.91038374900818,12.637591607392528,31.91038374900818
dfs,DFS,25,5,5,100.0,46.92354469299316,27.352788374173162,46.92354469299316
dfs,DFS,30,5,5,100.0,58.66870431900024,14.522630429937673,58.66870431900024
dfs,DFS,35,5,2,40.0,508.0837507724762,399.7252570978887,70.20937693119049
dfs,DFS,40,5,1,20.0,655.5662284851074,322.9637313539726,77.83114242553711
dfs,DFS,45,5,1,20.0,662.5048691272735,307.4484592066463,112.5243456363678
recursive,Recursive,15,5,5,100.0,17.55761308670044,18.252992439100137,17.55761308670044
recursive,Recursive,20,5,5,100.0,73.11984643936157,64.41927758321887,73.11984643936157
recursive,Recursive,25,5,2,40.0,531.5597786426545,368.53887448473773,128.89944660663605
recursive,Recursive,30,5,1,20.0,711.4170106887817,198.0775857500213,357.0850534439087
recursive,Recursive,35,5,0,0.0,800.0,0.0,
recursive,Recursive,40,5,0,0.0,800.0,0.0,
recursive,Recursive,45,5,0,0.0,800.0,0.0,
